Product{name='Lenscale Quailbrush', quantity=40.8}
Product{name='DILTZAC', quantity=86.3}
Product{name='Sandostatin', quantity=50.2}
Product{name='Three step hand care', quantity=30.3}
Product{name='Venlafaxine', quantity=3.2}
Product{name='FLUVIRIN', quantity=65.8}
Product{name='PENTACEL', quantity=27.0}
Product{name='Isopropyl Rubbing Alcohol', quantity=29.8}
Product{name='SEROQUEL', quantity=88.9}
Product{name='Antibacterial Hand Icy Mint', quantity=85.6}
Product{name='PVP Scrub', quantity=31.7}
Product{name='Hydrochlorothiazide', quantity=52.0}
Product{name='Intermezzo', quantity=94.8}
Product{name='AcipHex', quantity=38.5}
Product{name='SUNBAR SPF 15', quantity=66.2}
Product{name='AIR COMPRESSED', quantity=14.3}
Product{name='Antispetic', quantity=8.1}
Product{name='Furosemide', quantity=48.2}
Product{name='Hypothalmu Stim', quantity=57.7}
Product{name='RENOKIN LASH LASH', quantity=94.3}
Product{name='NATRUM MURIATICUM', quantity=56.3}
Product{name='NovoLog', quantity=63.8}
Product{name='TOPIRAMATE', quantity=17.8}
Product{name='Petroleum', quantity=78.7}
Product{name='Magnesium Citrate', quantity=4.8}
Product{name='Norco', quantity=45.2}
Product{name='LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE', quantity=9.2}
Product{name='PreviDent', quantity=21.9}
Product{name='Tree Mixture', quantity=94.8}
Product{name='Shopko Antibacterial Hand Sanitizer', quantity=82.2}
Product{name='Animal Hair and Dander Allergy Relief', quantity=89.1}
Product{name='Personal Care Creamy Petroleum Jelly', quantity=37.9}
Product{name='good sense flu and severe cold and cough', quantity=79.0}
Product{name='THIAMINE HYDROCHLORIDE', quantity=80.5}
Product{name='Ranitidine', quantity=88.7}
Product{name='Colgate', quantity=3.2}
Product{name='Curvularia inequalis', quantity=24.0}
Product{name='EnrichedFoam', quantity=60.1}
Product{name='Penicillin V Potassium', quantity=55.0}
Product{name='Ibuprofen', quantity=67.8}
Product{name='Antibacterial Hand', quantity=78.7}
Product{name='AZO', quantity=42.2}
Product{name='BackAid', quantity=69.1}
Product{name='Naso-Heel', quantity=87.0}
Product{name='ARTEMISIA TRIDENTATA POLLEN', quantity=78.0}
Product{name='Henry Schein Ibuprofen', quantity=78.8}
Product{name='ACNE CLEANSING WIPES', quantity=46.3}
Product{name='Ligatone', quantity=69.3}
Product{name='Sodium Chloride', quantity=47.9}
Product{name='Salt Cedar', quantity=4.0}
Product{name='Hydrocodone Bitartrate and Acetaminophen', quantity=38.4}
Product{name='Ketamine Hydrochloride', quantity=39.7}
Product{name='Methylene Blue', quantity=89.7}
Product{name='Nystatin', quantity=80.8}
Product{name='Methyldopa', quantity=79.0}
Product{name='Promethazine VC With Codeine', quantity=29.0}
Product{name='Klor-Con', quantity=61.6}
Product{name='tizanidine hydrochloride', quantity=66.4}
Product{name='Bayberry', quantity=95.2}
Product{name='Caduet', quantity=20.6}
Product{name='Imipramine Hydrochloride', quantity=25.8}
Product{name='ESIKA', quantity=88.3}
Product{name='Thuja', quantity=2.9}
Product{name='Oxymorphone hydrochloride', quantity=50.4}
Product{name='Fluticasone Propionate', quantity=71.1}
Product{name='Prednisone', quantity=91.2}
Product{name='Symax Duotab', quantity=95.8}
Product{name='Skin Corrective Innovative Skin Perfector BB Broad Spectrum SPF15 Sunscreen Light Medium', quantity=87.1}
Product{name='TUMS', quantity=77.2}
Product{name='Simvastatin', quantity=60.3}
Product{name='Aspirin', quantity=73.0}
Product{name='DOG HAIR AND EPITHELIA', quantity=3.0}
Product{name='Cefadroxil', quantity=44.0}
Product{name='Boscia BB SPF 27 PA', quantity=42.9}
Product{name='CD DiorSnow UV Shield Transluscent - SPF50', quantity=76.9}
Product{name='Mebendazole', quantity=79.8}
Product{name='PROAIR', quantity=16.0}
Product{name='Ciprofloxacin', quantity=54.4}
Product{name='Cleocin Phosphate', quantity=15.7}
Product{name='Clobex', quantity=31.3}
Product{name='Sumatriptan Succinate', quantity=70.7}
Product{name='METOPROLOL SUCCINATE', quantity=38.2}
Product{name='Maximum Strength Flu HBP', quantity=72.9}
Product{name='Pravastatin Sodium', quantity=56.1}
Product{name='Fluaid', quantity=94.7}
Product{name='Protamine Sulfate', quantity=33.5}
Product{name='Proactiv Solution Oil Free Moisture SPF 15 Moisturizer', quantity=72.1}
Product{name='Amlodipine Besylate', quantity=61.4}
Product{name='Kroger Aloe Vera', quantity=50.5}
Product{name='Hyperactivity - Mental Focus', quantity=68.5}
Product{name='Digoxin', quantity=18.3}
Product{name='OcuMend', quantity=51.1}
Product{name='Denti-Care', quantity=96.4}
Product{name='Acetaminophen', quantity=82.5}
Product{name='flormar BB Sheer Tinted Beauty Sunscreen Broad Spectrum SPF 15 04 Medium Beige', quantity=8.4}
Product{name='FORTAZ', quantity=44.7}
Product{name='Codar', quantity=43.9}
Product{name='TAMNAMO PLUS VITAL HAIR', quantity=71.8}
Product{name='Rheumaforce', quantity=20.1}
Product{name='Pollens - Trees, Eucalyptus (Blue Gum) Eucalyptus globulus', quantity=55.4}
Product{name='Eve Lom Daily Protection Broad Spectrum SPF 50 Sunscreen', quantity=9.4}
Product{name='HYDROCHLOROTHIAZIDE', quantity=68.9}
Product{name='Jet Lag', quantity=54.4}
Product{name='ARNICA MONTANA', quantity=39.2}
Product{name='Citalopram', quantity=83.6}
Product{name='Cotz Pediatric SPF 40', quantity=57.3}
Product{name='healthy accents all day pain relief', quantity=69.2}
Product{name='Daytime Multi-Symptom Cold Relief', quantity=23.1}
Product{name='Furosemide', quantity=36.5}
Product{name='Secret Natural Mineral', quantity=87.7}
Product{name='DOCUSATE SODIUM', quantity=30.1}
Product{name='Standardized Grass Pollen, Redtop', quantity=64.0}
Product{name='LBEL', quantity=70.3}
Product{name='Lamotrigine Extended Release', quantity=36.5}
Product{name='Dulcolax', quantity=61.1}
Product{name='Melissa Chamomilla', quantity=57.0}
Product{name='Smart Sense Acid Reducer', quantity=49.7}
Product{name='Losartan Potassium and Hydrochlorothiazide', quantity=69.2}
Product{name='Omeprazole', quantity=72.4}
Product{name='Meloxicam', quantity=54.6}
Product{name='Cefotaxime', quantity=59.1}
Product{name='Oraqix', quantity=2.5}
Product{name='Denti-Care Denti-Rinse', quantity=40.3}
Product{name='Divalproex Sodium', quantity=26.7}
Product{name='eszopiclone', quantity=18.0}
Product{name='Rite Aid Sport SunscreenSPF 30', quantity=61.0}
Product{name='Vecuronium Bromide', quantity=96.2}
Product{name='Anti Itch', quantity=39.4}
Product{name='Oxytocin', quantity=53.8}
Product{name='Clopidogrel', quantity=94.4}
Product{name='EPANED', quantity=16.2}
Product{name='LANOXIN', quantity=96.3}
Product{name='Alcohol', quantity=42.2}
Product{name='Dialyvite with Zinc', quantity=16.7}
Product{name='Thermazene', quantity=67.9}
Product{name='Rugby Nicotine Polacrilex Gum, Coated Cinnamon Flavor', quantity=47.3}
Product{name='equaline allergy', quantity=49.4}
Product{name='Heparin Sodium', quantity=1.4}
Product{name='Preferred Plus Sinus', quantity=33.4}
Product{name='Lidocaine Hydrochloride', quantity=8.6}
Product{name='Furosemide', quantity=54.7}
Product{name='No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Chestnut', quantity=36.5}
Product{name='Tussin DM', quantity=74.9}
Product{name='Amlodipine besylate and benazepril hydrochloride', quantity=70.9}
Product{name='SHADSCALE POLLEN', quantity=88.9}
Product{name='Diltiazem Hydrochloride', quantity=42.0}
Product{name='Labetalol hydrochloride', quantity=73.0}
Product{name='FORTAZ', quantity=37.4}
Product{name='Levetiracetam', quantity=95.6}
Product{name='SENNA TIME', quantity=84.8}
Product{name='Aveeno Active Naturals Positively Ageless Multidefense Daily Moisturizer', quantity=58.1}
Product{name='Lisinopril', quantity=41.3}
Product{name='L-Methyl-B6-B12', quantity=88.3}
Product{name='Prednisone', quantity=96.5}
Product{name='NITROGEN', quantity=83.4}
Product{name='Depo-Provera', quantity=32.7}
Product{name='Oxygen', quantity=48.1}
Product{name='Coconut Vanilla Hand Sanitizer', quantity=66.0}
Product{name='Oxcarbazepine', quantity=69.4}
Product{name='Leader Pain Relief', quantity=87.1}
Product{name='Sweet Fig Antibacterial Foaming Hand Wash', quantity=84.0}
Product{name='Clearasil Daily Clear', quantity=78.3}
Product{name='Purminerals 4 in 1 Makeup SPF 15 Blush Medium', quantity=26.1}
Product{name='Good Neighbor Pharmacy Acid Reducer', quantity=30.3}
Product{name='HYQVIA', quantity=40.8}
Product{name='careone antacid', quantity=81.8}
Product{name='AMRIX', quantity=26.7}
